Start dvips output  VM-max: 20971520 VM-used: 86400
Printing page: 1  VM-max: 20971520 VM-used: 190399
Printing page: 2  VM-max: 20971520 VM-used: 185543
Printing page: 3  VM-max: 20971520 VM-used: 189567
Printing page: 4  VM-max: 20971520 VM-used: 189591
Printing page: 5  VM-max: 20971520 VM-used: 189615
Printing page: 6  VM-max: 20971520 VM-used: 197703
Printing page: 7  VM-max: 20971520 VM-used: 197727
Printing page: 8  VM-max: 20971520 VM-used: 197631
Printing page: 9  VM-max: 20971520 VM-used: 197655
Printing page: 10  VM-max: 20971520 VM-used: 189615
Printing page: 11  VM-max: 20971520 VM-used: 197703
